,k1,km1,k2,km2,kcat,dGo,alpha,RSS,Result order,Parameter pair
155,2.828630098003595,1.9731213356412862,9011432.475278959,3503.1329992047595,1.0610863590474735,-3.2498,-4.0684,0.4651379613670833,54,"k1,k2"
156,4.718439386020051,1.9887619717557357,9011432.475278959,3751.701457933459,1.0120377595599135,-3.2498,-4.0684,0.31841748630164746,64,"k1,k2"
157,4.718439386020051,2.2903765546997903,5402211.841742365,2880.2201420130928,1.2594179340270637,-3.2498,-4.0684,0.5177959619576109,63,"k1,k2"
158,4.718439386020051,6.683583052479028,1941454.273162086,1051.9846997923898,2.2423593180566868,-3.2498,-4.0684,0.3205347922153434,61,"k1,k2"
159,7.870831274565959,1.054063420417903,1163871.2594750775,1298.151917986505,2.1484604102740614,-3.2498,-4.0684,0.32282951551237016,70,"k1,k2"
160,2.828630098003595,2.091351528195197,25074846.16144205,4548.703021919199,0.8559172739695775,-3.2498,-4.0684,5.752054480576347,56,"k1,k2"
161,2.828630098003595,3.726241880438651,69772248.94541784,18013.72985886201,2.2582313259290965,-3.2498,-4.0684,12.515353956484901,58,"k1,k2"
162,4.718439386020051,2.0161286526708615,1163871.2594750775,8241.88327388165,17.257935969151056,-3.2498,-4.0684,0.3221463141964494,60,"k1,k2"
163,2.828630098003595,114.94659960137423,116387125.94750775,54413.31696620533,33.501213365910225,-3.2498,-4.0684,0.3244080307602739,59,"k1,k2"
164,7.870831274565959,1.9817616856870406,41827364.35211033,3767.737431301147,1.0574368643500698,-3.2498,-4.0684,25.27896647450293,77,"k1,k2"
165,1.6957191937312774,3.7548107641680017,116387125.94750775,7325.760878472742,0.4885926219999823,-3.2498,-4.0684,3.5172675693756617,49,"k1,k2"
166,4.718439386020051,5.5486180997781664,15031975.352954859,2850.6407042009114,0.6978835068726899,-3.2498,-4.0684,0.3257544482209872,65,"k1,k2"
167,7.870831274565959,1.9818443590126655,15031975.352954859,3767.7868626085474,1.0574937807466127,-3.2498,-4.0684,10.164182696463879,75,"k1,k2"
168,2.828630098003595,2.014270651211957,41827364.35211033,5941.6144650618135,0.5353356578156196,-3.2498,-4.0684,2.122737651343858,57,"k1,k2"
169,7.870831274565959,1.9841452137428583,9011432.475278959,3767.8874355191697,1.057726116501855,-3.2498,-4.0684,1.1776265188280348,74,"k1,k2"
170,4.718439386020051,0.22827823157708726,69772248.94541784,157520.5772870427,7.433514778654642,-3.2498,-4.0684,8.891413512257488,68,"k1,k2"
171,4.718439386020051,32.633306209162065,116387125.94750775,247874.5249009319,26.626316701465093,-3.2498,-4.0684,0.5373344331896731,69,"k1,k2"
172,7.870831274565959,2.340918697548054,3238540.916011026,2516.3656311964783,1.739365124127227,-3.2498,-4.0684,0.32192241621781026,72,"k1,k2"
173,4.718439386020051,2.5130895498310615,25074846.16144205,4109.894951938531,0.4156977714789336,-3.2498,-4.0684,0.37686516842454904,66,"k1,k2"
174,7.870831274565959,0.020634813890398007,1941454.273162086,3751.646681362839,3.2012419137581283,-3.2498,-4.0684,0.36298377508857593,71,"k1,k2"
175,7.870831274565959,1.8321213534830458,5402211.841742365,3826.53179186624,1.4951110131911824,-3.2498,-4.0684,0.3195873817115495,73,"k1,k2"
