k1,km1,k2,km2,kcat,dGo,alpha,kobs,RSS
2.177713034418072,1.88555169596621,12165194.94871659,3901.9648415467473,1.0091290254064749,-3.2498,-4.0684,1685.7596249660526,0.6152036102852969
2.16609587108713,1.986178537064121,11627908.108618347,3767.5991195201345,1.0597930113248513,-3.2498,-4.0684,1705.7973576663214,0.7087510988957173
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.600252875644527
2.1810059602148137,1.9783708444864705,11667288.227485768,3769.944871942397,1.0590061600905742,-3.2498,-4.0684,1718.0667023311923,0.5406145833033718
2.1763219376122374,1.971115696195644,11706012.410002649,3770.8100108688955,1.065570113634398,-3.2498,-4.0684,1735.3094363523492,0.672508547496258
2.179007739270582,1.9652401566329738,11541241.27707324,3788.7317698904644,1.0633443783449232,-3.2498,-4.0684,1702.6436979485952,0.673833887795432
2.1796755291125627,1.9797977606207113,11653835.891574105,3770.9636053237887,1.0561908849447015,-3.2498,-4.0684,1709.9793215843636,0.6354340920374091
2.1697532193708695,1.9439754242090972,11713087.631887257,3796.6425828801575,1.0571980401347787,-3.2498,-4.0684,1719.8153190825426,0.6610533710918193
2.1603791215319976,1.9499139411430289,12327491.515851254,3832.1432499912107,1.011154742150917,-3.2498,-4.0684,1709.201263296638,0.6817476668296261
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6186332616089205
2.1727223715777484,1.9556963404111762,11741010.85927572,3798.3148170696163,1.0519713674782385,-3.2498,-4.0684,1710.8765956795837,0.6001850731122731
2.167011409011075,1.9413311539902156,12193302.438070975,3818.778655255011,1.0266496429459493,-3.2498,-4.0684,1728.609628998752,0.5939946909426306
2.173220111267715,1.9663175585833832,11748739.912041571,3765.535497272017,1.0633899261589788,-3.2498,-4.0684,1741.3510579158558,0.5534839853769614
2.180405734900179,1.9802697159104694,11646491.845489625,3769.042996853196,1.0583678037954285,-3.2498,-4.0684,1713.374089634835,0.49278952418153654
2.1725646547029913,1.9486151009412014,11700374.076879699,3789.120350539414,1.0592379290150595,-3.2498,-4.0684,1723.7910995622262,0.7228465590408099
2.180677066151842,1.9365952845728156,11822307.416168442,3809.365604458852,1.0544732316940317,-3.2498,-4.0684,1732.7931047092736,0.5047388182001371
2.184103372548108,1.9799865365987692,11649502.355936708,3769.125735528179,1.058815445144691,-3.2498,-4.0684,1716.0033182008763,0.6508489307641379
2.170683476863625,1.9591628008043034,11780036.679680025,3766.0703349689034,1.0636515901109878,-3.2498,-4.0684,1748.2260334608538,0.5953813335621436
2.17652995100113,1.9808594244137026,11630880.681798711,3771.1795259687683,1.0584720937785157,-3.2498,-4.0684,1708.5861180008048,0.584204037489231
2.178199468697348,1.979242864554137,11640425.763521831,3771.560374732294,1.0595487432304216,-3.2498,-4.0684,1712.845401421397,0.6343058424695649
2.1897332023027483,1.9816638185403144,11637991.406094728,3767.734090549167,1.057439777984718,-3.2498,-4.0684,1714.120058936328,0.7382023343895805
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6473797089260696
2.180958965933818,1.9838693910023473,11634969.640086599,3772.207866487046,1.0581179344638167,-3.2498,-4.0684,1708.5681102810227,0.5071212329101848
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6536522954905983
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6478565488909163
2.180636281742224,1.9807216759803108,11647396.976332912,3769.9643371780535,1.0578991050263733,-3.2498,-4.0684,1712.2303571321177,0.4969231268617978
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6600936437336675
2.160183780706883,1.9772604050246216,11644795.338475421,3775.2226948261086,1.055575408644478,-3.2498,-4.0684,1699.4785494163862,0.7094956110240536
2.1860285349442727,1.9435239720248925,11710035.882195724,3800.0982800014303,1.054722766121802,-3.2498,-4.0684,1720.022108815066,0.6179005964128366
2.1617766444889748,1.9642522628776145,11829181.944479918,3773.2032857685426,1.057268334396582,-3.2498,-4.0684,1736.1474740292504,0.7407322379537001
2.172298303636503,1.9597461948273973,11509420.199083026,3771.7167680014063,1.0732792488234675,-3.2498,-4.0684,1721.3057289065641,0.7023748206421538
2.174339711909261,1.9775644888325932,11636690.025319831,3769.310570884979,1.0593091275773214,-3.2498,-4.0684,1712.1755717930105,0.6417103865196842
2.1608885171848047,1.9597779989422182,11797947.023500146,3795.8299871695017,1.0510555187631367,-3.2498,-4.0684,1712.6554497928814,0.6051807825173112
