kcat_Dilute,KM_Dilute,kcat_Dense,KM_Dense,dGo,alpha,kobs_Dilute,kobs_Dense,RSS
1.0,0.000556255,0.4293593105857745,0.001189806522399528,-3.2498,-3.0684,1797.7366495582064,360.8648149951887,0.22314153020318928
1.0,0.000556255,0.48313254808468176,0.001289533664525444,-3.2498,-3.0684,1797.7366495582064,374.65679367314334,0.13525957070513034
1.0,0.000556255,0.4693637868747502,0.0012973153509118207,-3.2498,-3.0684,1797.7366495582064,361.796217507838,0.20283970046573882
1.0,0.000556255,0.4297948069141706,0.0011868270692935168,-3.2498,-3.0684,1797.7366495582064,362.1376846165253,0.1516086396313694
1.0,0.000556255,0.34770444704238024,0.0009537330597623184,-3.2498,-3.0684,1797.7366495582064,364.57208176156996,0.16526782635757717
1.0,0.000556255,0.5071293558516794,0.0013800517642302834,-3.2498,-3.0684,1797.7366495582064,367.47125651082234,0.18497843664038893
1.0,0.000556255,0.5161994148663127,0.0013883287961659052,-3.2498,-3.0684,1797.7366495582064,371.81351873697423,0.19645059303827372
1.0,0.000556255,0.4199341677374635,0.0011662471114687323,-3.2498,-3.0684,1797.7366495582064,360.07306136742545,0.13815197928768552
1.0,0.000556255,0.42609825562734804,0.0011790818253417656,-3.2498,-3.0684,1797.7366495582064,361.38141261217413,0.1648026728712454
1.0,0.000556255,0.4210702273834439,0.0011757964825210854,-3.2498,-3.0684,1797.7366495582064,358.11488947526504,0.1777895859896929
1.0,0.000556255,0.41604805057256566,0.0011568064912469422,-3.2498,-3.0684,1797.7366495582064,359.6522441053215,0.17825714065383585
1.0,0.000556255,0.411350901480229,0.0011479091883180859,-3.2498,-3.0684,1797.7366495582064,358.34794743906485,0.15767280444521026
1.0,0.000556255,0.4998853706076931,0.0013544477708015146,-3.2498,-3.0684,1797.7366495582064,369.06950669044886,0.15518495345988495
1.0,0.000556255,0.49233794128009545,0.0013319143840601066,-3.2498,-3.0684,1797.7366495582064,369.6468385447493,0.1365885948402885
1.0,0.000556255,0.4084720265709709,0.0011319511462685172,-3.2498,-3.0684,1797.7366495582064,360.8565863619654,0.18442080832442112
1.0,0.000556255,0.4506047915924123,0.0012110603957288246,-3.2498,-3.0684,1797.7366495582064,372.07458288753236,0.1429017507020521
1.0,0.000556255,0.35178747077802464,0.0009630469802838215,-3.2498,-3.0684,1797.7366495582064,365.2858873762821,0.1773972643542579
1.0,0.000556255,0.422081401177979,0.0011815491415797519,-3.2498,-3.0684,1797.7366495582064,357.2271235487072,0.14948524952544456
1.0,0.000556255,0.42346769487783686,0.0011743234448943207,-3.2498,-3.0684,1797.7366495582064,360.60567190323394,0.1260400155142416
1.0,0.000556255,0.4259030268693609,0.001173072460055713,-3.2498,-3.0684,1797.7366495582064,363.0662566651112,0.16434052979943303
1.0,0.000556255,0.35003367015506015,0.000960510901222178,-3.2498,-3.0684,1797.7366495582064,364.42446380324117,0.15161460093210946
1.0,0.000556255,0.43957089271617455,0.0011871358420206812,-3.2498,-3.0684,1797.7366495582064,370.2785116553803,0.15927269865228527
1.0,0.000556255,0.37123073079854474,0.0010157763126302788,-3.2498,-3.0684,1797.7366495582064,365.4650400709481,0.15977916392180697
1.0,0.000556255,0.4408417684066408,0.0012194430913811116,-3.2498,-3.0684,1797.7366495582064,361.51073512364906,0.15300702285771922
1.0,0.000556255,0.42139802033618023,0.0011699056856701029,-3.2498,-3.0684,1797.7366495582064,360.1982839281701,0.19867854494262854
1.0,0.000556255,0.5361426511066374,0.0014530527072315058,-3.2498,-3.0684,1797.7366495582064,368.9767400992269,0.181120436513531
1.0,0.000556255,0.4179388421952619,0.001184971884134467,-3.2498,-3.0684,1797.7366495582064,352.6993743826545,0.15498352218914885
1.0,0.000556255,0.4333519882427681,0.0011934170819244416,-3.2498,-3.0684,1797.7366495582064,363.1186404203026,0.13491072997466608
1.0,0.000556255,0.48761176445646526,0.001325576955734875,-3.2498,-3.0684,1797.7366495582064,367.8487034244967,0.15287435581224604
1.0,0.000556255,0.42584621295770986,0.0011788885123801274,-3.2498,-3.0684,1797.7366495582064,361.22687470924956,0.12721644618628392
1.0,0.000556255,0.4182088182235615,0.0011708067806098787,-3.2498,-3.0684,1797.7366495582064,357.1971269296156,0.17889845252555367
1.0,0.000556255,0.3820544442042426,0.0010446390382558013,-3.2498,-3.0684,1797.7366495582064,365.7286681935093,0.2097201639617916
1.0,0.000556255,0.4622784313166366,0.0012422800568961945,-3.2498,-3.0684,1797.7366495582064,372.1209470846917,0.19037428421909092
1.0,0.000556255,0.44422446315729447,0.001207667416009861,-3.2498,-3.0684,1797.7366495582064,367.83675477890614,0.12806645729062563
1.0,0.000556255,0.4736200072420622,0.0013022894133193352,-3.2498,-3.0684,1797.7366495582064,363.682605723468,0.1390399051250789
1.0,0.000556255,0.4437673871026262,0.0012016106782887226,-3.2498,-3.0684,1797.7366495582064,369.310455641605,0.16419039252514162
1.0,0.000556255,0.34153081339986424,0.0009366070617436995,-3.2498,-3.0684,1797.7366495582064,364.646848555711,0.17053457883720247
1.0,0.000556255,0.4527927139118342,0.0012295005665937664,-3.2498,-3.0684,1797.7366495582064,368.2736927614929,0.1290399947101583
1.0,0.000556255,0.4250947793783908,0.0011825202780436639,-3.2498,-3.0684,1797.7366495582064,359.48202096090773,0.14818934744929424
1.0,0.000556255,0.4461235605178264,0.0012034266446615538,-3.2498,-3.0684,1797.7366495582064,370.71105455147386,0.14825460772254934
1.0,0.000556255,0.4374369101235809,0.0012050479882309562,-3.2498,-3.0684,1797.7366495582064,363.00372632109895,0.16625986744910876
1.0,0.000556255,0.4811720239400732,0.001314198545478651,-3.2498,-3.0684,1797.7366495582064,366.13343211761287,0.12818549570603088
1.0,0.000556255,0.4257239981319909,0.0011733511067372193,-3.2498,-3.0684,1797.7366495582064,362.82745692022,0.16780020624047828
1.0,0.000556255,0.433328891528874,0.0011928846763246126,-3.2498,-3.0684,1797.7366495582064,363.26134464565354,0.1892604502635163
1.0,0.000556255,0.4505009334899166,0.0012251341868106946,-3.2498,-3.0684,1797.7366495582064,367.7155844150214,0.1634875403337836
1.0,0.000556255,0.4573788453889278,0.001239217753264188,-3.2498,-3.0684,1797.7366495582064,369.0867437818409,0.15423238411101495
1.0,0.000556255,0.4227038505320233,0.001180190827306915,-3.2498,-3.0684,1797.7366495582064,358.1656802879869,0.15063173324405546
1.0,0.000556255,0.4603332106853961,0.0012513999261166697,-3.2498,-3.0684,1797.7366495582064,367.8545931466506,0.1729725244696053
1.0,0.000556255,0.3656383510247674,0.0010009184980478425,-3.2498,-3.0684,1797.7366495582064,365.3028210967187,0.1460667545620296
1.0,0.000556255,0.5798961552923858,0.0015494168143258547,-3.2498,-3.0684,1797.7366495582064,374.26736945842197,0.15391794700627365
1.0,0.000556255,0.3555045842127946,0.0009739694982339175,-3.2498,-3.0684,1797.7366495582064,365.0058701606417,0.14589897067637952
1.0,0.000556255,0.35575886671994783,0.0009769436171073176,-3.2498,-3.0684,1797.7366495582064,364.1549629786543,0.13081597800148362
1.0,0.000556255,0.3687205215390825,0.0010089243598495612,-3.2498,-3.0684,1797.7366495582064,365.4590336128486,0.09701329578699575
1.0,0.000556255,0.4301816043983011,0.001184159791173811,-3.2498,-3.0684,1797.7366495582064,363.28002994585637,0.09117117980866252
1.0,0.000556255,0.36290659528735625,0.0009967139779815115,-3.2498,-3.0684,1797.7366495582064,364.10304591322586,0.22022085472378608
1.0,0.000556255,0.4179358742729098,0.0011513023572614633,-3.2498,-3.0684,1797.7366495582064,363.0113945627887,0.17141680532283074
1.0,0.000556255,0.4268876580666332,0.0011781033470693592,-3.2498,-3.0684,1797.7366495582064,362.351621467298,0.13225030142112623
