kcat,KM,dGo,alpha,kobs,RSS
0.05697776775971097,3.0521019853346765e-05,-3.2498,-4.0684,1866.8369547770242,0.5365014862099654
0.06518271022482458,3.559718221046726e-05,-3.2498,-4.0684,1831.1199420064706,0.6185877395044312
0.06685132365799662,3.616843217268961e-05,-3.2498,-4.0684,1848.3334676717152,0.5444347330082149
0.05370685469712311,2.874010807329963e-05,-3.2498,-4.0684,1868.7074718072577,0.6381581659867854
0.06917754784298724,3.7904132422439396e-05,-3.2498,-4.0684,1825.0661187019773,0.4419629327784875
0.06563815512736793,3.5068950735239746e-05,-3.2498,-4.0684,1871.688594931644,0.6021332499964532
0.04511810368491376,2.404438436698353e-05,-3.2498,-4.0684,1876.4507752116765,0.48698919438852717
0.09934773808858077,5.5530727803065894e-05,-3.2498,-4.0684,1789.0588151645964,0.5585901546246855
0.06029786650026203,3.2469791322209396e-05,-3.2498,-4.0684,1857.0450885225796,0.6046729445076596
0.0654451310070221,3.5358141887154027e-05,-3.2498,-4.0684,1850.921103713286,0.4150322858053572
0.06414925130530769,3.4520118368353e-05,-3.2498,-4.0684,1858.3149287262518,0.5085753941711465
0.05451663907814952,2.8570057285626227e-05,-3.2498,-4.0684,1908.173950549871,0.549440017047951
0.06376556423462199,3.389319059288187e-05,-3.2498,-4.0684,1881.3680010407106,0.6077017830080258
0.05995506668781436,3.213320960171462e-05,-3.2498,-4.0684,1865.8287619240866,0.5698626449895534
0.04257744738213276,2.230102510869525e-05,-3.2498,-4.0684,1909.214808494685,0.5697720453274107
0.15502504427599595,8.594054040444998e-05,-3.2498,-4.0684,1803.8639685813378,0.6858956393271134
0.056981630376587544,3.082095114270711e-05,-3.2498,-4.0684,1848.795324737102,0.6226506751971213
0.04484733653283057,2.3434552444023815e-05,-3.2498,-4.0684,1913.7270336164393,0.4457297752060348
0.2704788097490789,0.0001537862715220717,-3.2498,-4.0684,1758.7968488478457,0.5400726931019538
0.07037014659690821,3.761333613272466e-05,-3.2498,-4.0684,1870.8828791095773,0.6206279065169198
0.10262788890524899,5.610082380147485e-05,-3.2498,-4.0684,1829.3472706999887,0.6644302889300994
0.03881435763096919,1.984842124624908e-05,-3.2498,-4.0684,1955.5387881695756,0.5720670552608076
0.040648925549007675,2.108472027562147e-05,-3.2498,-4.0684,1927.8854553269405,0.5524534796365292
0.06042732125535566,3.285084146453787e-05,-3.2498,-4.0684,1839.445157609929,0.51659189975237
0.089540633861807,4.95256662319532e-05,-3.2498,-4.0684,1807.964247112677,0.5821593035490785
0.05865511630179698,3.103694875872254e-05,-3.2498,-4.0684,1889.8480246165536,0.47096873831896013
0.043314057364594705,2.2441128651462527e-05,-3.2498,-4.0684,1930.1193820201129,0.5449034082586738
0.051716595321626535,2.7464973571311724e-05,-3.2498,-4.0684,1883.0018236626527,0.5914082786018247
0.04872531513682121,2.5757993074582153e-05,-3.2498,-4.0684,1891.6580571994598,0.6931850807036593
0.08622498239539089,4.79217478078775e-05,-3.2498,-4.0684,1799.2870948921652,0.5687756465535686
0.04245657531778546,2.2386565314058693e-05,-3.2498,-4.0684,1896.5202889396733,0.6869995405880333
