,kcat,KM,dGo,alpha,RSS,Result order,Parameter pair
73,1.6887806863342196,0.0001278390229978141,-3.2498,-4.0684,27.935166609735063,73,"kcat,KM"
74,1.6887806863342196,0.00021324834293778443,-3.2498,-4.0684,23.869611189028006,74,"kcat,KM"
75,1.6887806863342196,0.0003557196754115406,-3.2498,-4.0684,16.737812080483316,75,"kcat,KM"
76,1.6887806863342196,0.000593376181646621,-3.2498,-4.0684,6.905122659895568,76,"kcat,KM"
77,1.6887806863342196,0.0009898111273664483,-3.2498,-4.0684,0.3225368952397094,77,"kcat,KM"
78,1.6887806863342196,0.0016511044732865686,-3.2498,-4.0684,9.680124202094323,78,"kcat,KM"
79,1.6887806863342196,0.0027542082588627457,-3.2498,-4.0684,28.53330942836785,79,"kcat,KM"
80,2.817055970087196,2.7542082588627457e-05,-3.2498,-4.0684,29.928115080984078,80,"kcat,KM"
81,2.817055970087196,4.5942962761697854e-05,-3.2498,-4.0684,29.928115235024478,81,"kcat,KM"
82,2.817055970087196,7.663748086335051e-05,-3.2498,-4.0684,29.927864811057894,82,"kcat,KM"
83,2.817055970087196,0.0001278390229978141,-3.2498,-4.0684,29.75634842315681,83,"kcat,KM"
84,2.817055970087196,0.00021324834293778443,-3.2498,-4.0684,27.935166609735063,84,"kcat,KM"
85,2.817055970087196,0.0003557196754115406,-3.2498,-4.0684,23.869611189028006,85,"kcat,KM"
86,2.817055970087196,0.000593376181646621,-3.2498,-4.0684,16.737812080483117,86,"kcat,KM"
87,2.817055970087196,0.0016511044732865686,-3.2498,-4.0684,0.32253689524571705,88,"kcat,KM"
88,2.817055970087196,0.0027542082588627457,-3.2498,-4.0684,9.680124202094316,89,"kcat,KM"
89,4.699132577025085,2.7542082588627457e-05,-3.2498,-4.0684,29.928115102156376,90,"kcat,KM"
90,2.817055970087196,0.0009898111273664483,-3.2498,-4.0684,6.905122659895568,87,"kcat,KM"
91,4.699132577025085,7.663748086335051e-05,-3.2498,-4.0684,29.9281152350245,92,"kcat,KM"
92,4.699132577025085,4.5942962761697854e-05,-3.2498,-4.0684,29.928115080984078,91,"kcat,KM"
93,4.699132577025085,0.0001278390229978141,-3.2498,-4.0684,29.927864811057862,93,"kcat,KM"
94,4.699132577025085,0.00021324834293778443,-3.2498,-4.0684,29.75634842315681,94,"kcat,KM"
95,4.699132577025085,0.000593376181646621,-3.2498,-4.0684,23.869611189204708,96,"kcat,KM"
96,4.699132577025085,0.0003557196754115406,-3.2498,-4.0684,27.935166609735063,95,"kcat,KM"
97,4.699132577025085,0.0009898111273664483,-3.2498,-4.0684,16.737812080483117,97,"kcat,KM"
98,4.699132577025085,0.0027542082588627457,-3.2498,-4.0684,0.32253689524571705,99,"kcat,KM"
99,4.699132577025085,0.0016511044732865686,-3.2498,-4.0684,6.9051226600621884,98,"kcat,KM"
