Time,FRET,Enzyme,RNA,DNA
4501.052,0.08452714329779876,2e-06,1.0000000000000001e-07,5.000000000000001e-07
4501.052,0.023626694848531433,2e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,0.0,2e-06,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,8.096525516284186e-17,2e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,3e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,3e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.048550102223815,3e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.0642854822494157,3e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,0.9838761947237081,3e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,0.9983006550915037,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,1.008837929923548,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,1.014401065588929,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.9011367547967934,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.914229931687484,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.7191517884068191,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.5648179642672441,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.46476959049343003,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.4437397705262502,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.3400076669516857,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.24787099337953813,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.17081782577886503,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.1562443009193324,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,0.1255277001342145,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,0.06981337120681204,3e-06,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,0.04959698774339873,3e-06,1.0000000000000001e-07,5.000000000000001e-07
